#序	聲類	譯訓	轉寫	備註
1	幫	ㅂ	p	
2	滂	ㅍ	pʰ	
3	並	ᄈ平	pʱ	【譯訓】全濁之字平聲近于次清上去入近于全清
4	並	ᄈ仄	b	【譯訓】全濁之字平聲近于次清上去入近于全清
5	明	ㅁ	m	
6	非	ᄫ	f	
7	奉	ᄬ	fv/fʱ	
8	微	ᄝ	v	
9	端	ㄷ	t	
10	透	ㅌ	tʰ	
11	定	ᄄ平	tʱ	【譯訓】全濁之字平聲近于次清上去入近于全清
12	定	ᄄ仄	d	【譯訓】全濁之字平聲近于次清上去入近于全清
13	泥	ㄴ	n	
14	精	ᅎ	ts	
15	清	ᅔ	tsʰ	
16	從	ᅏ平	tsʱ	【譯訓】全濁之字平聲近于次清上去入近于全清
17	從	ᅏ仄	dz	【譯訓】全濁之字平聲近于次清上去入近于全清
18	心	ᄼ	s	
19	邪	ᄽ	sz/sʱ	
20	照	ᅐ	ʈʂ/tʃ	
21	穿	ᅕ	ʈʂʰ/tʃʰ	
22	牀	ᅑ平	ʈʂʱ/tʃʱ	【譯訓】全濁之字平聲近于次清上去入近于全清
23	牀	ᅑ仄	ɖʐ/dʒ	【譯訓】全濁之字平聲近于次清上去入近于全清
24	審	ᄾ	ʂ/ʃ	
25	禪	ᄿ	ʂʐ/ʂʱ/ʃʒ/ʃʱ	
26	見	ㄱ	k	
27	溪	ㅋ	kʰ	
28	羣	ᄁ平	kʱ	【譯訓】全濁之字平聲近于次清上去入近于全清
29	羣	ᄁ仄	g	【譯訓】全濁之字平聲近于次清上去入近于全清
30	疑	ᅌ	ŋ	
31	影	ᅙ	ʔ	
32	曉	ㅎ	h/x	
33	匣	ᅘ	ɦ	
34	以	ㅇ	j	
35	來	ㄹ	l	
36	日	ᅀ	ʒ/ɻ	
