#序	韻部	譯訓	轉寫	譯訓	轉寫
1	東	우ᇰ	uŋ	욱	uk
2	東	유ᇰ	yuŋ	육	yuk
3	支	으	ɨ		
4	支	이	i		
5	齊	예	iɪi/i		
6	魚	유	y		
7	模	우	u		
8	皆	애	ai		
9	皆	왜	wai		
10	皆	얘	iai		
11	灰	위	ui		
12	真	은	ən	읃	ət
13	真	운	un	욷	ut
14	真	인	in	읻	it
15	真	윤	yun	윧	yut
16	寒	언	ɔn	얻	ɔt
17	寒	원	wɔn	웓	wɔt
18	刪	안	an	앋	at
19	刪	완	wan	왇	wat
20	刪	얀	ian	얃	iat
21	先	연	iɛn	엳	iɛt
22	先	ᄋᆑᆫ	yuɛn	ᄋᆑᆮ	yuɛt
23	蕭	여ᇦ	iɛw		
24	爻	아ᇦ	aw		
25	爻	야ᇦ	iaw		
26	歌	어	ɔ		
27	歌	워	wɔ		
28	麻	아	a		
29	麻	와	wa		
30	遮	야	ia		
31	遮	여	iɛ		
32	遮	ᄋᆑ	yuɛ		
33	陽	아ᇰ	ɑŋ	악	ɒk
34	陽	와ᇰ	wɑŋ	약	wɒk
35	陽	야ᇰ	iɑŋ	왁	iɒk
36	庚	의ᇰ	əŋ	읙	ək
37	庚	위ᇰ	wəŋ	윅	wək
38	庚	이ᇰ	iŋ	익	ik
39	庚	ᄋᆔᇰ	yuəŋ	ᄋᆔᆨ	yuək
40	尤	으ᇦ	əw		
41	尤	이ᇦ	iw		
42	侵	음	əm	읍	əp
43	侵	임	im	입	ip
44	覃	암	am	압	ap
45	覃	얌	iam	얍	iap
46	鹽	염	iɛm	염	iɛp
